"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN"
"978","RImpala","Mu-Sigma","2014-02-24","2015-05-11",10,4,"2015-05-07"
"980","BatchExperiments","tudo-r","2013-11-05","2015-07-16",10,4,"2015-03-18"
"982","highfrequency","jonathancornelissen","2012-12-24","2013-12-24",10,12,"2014-11-28"
"984","webreadr","Ironholds","2015-03-15","2015-07-16",10,1,"2015-07-16"
"987","sqlutils","jbryer","2012-11-01","2015-07-01",10,4,"2014-11-19"
"989","pushoverr","briandconnelly","2014-03-28","2014-11-06",10,1,"2014-11-06"
"990","praise","gaborcsardi","2015-07-30","2015-08-03",10,0,"2015-08-11"
"992","testit","yihui","2013-06-26","2015-06-10",10,2,"2014-12-20"
"993","geonames","ropensci","2014-05-04","2014-12-23",10,0,"2014-12-19"
"994","MALDIquant","sgibb","2012-10-07","2015-08-11",10,1,"2015-06-11"
"996","dendextendRcpp","talgalili","2013-08-16","2015-05-22",10,2,"2015-05-22"
"997","graticule","mdsumner","2015-05-05","2015-08-21",10,0,"2015-08-20"
