"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"188","r-slopegraph","jkeirstead","2011-07-16","2013-12-12",49,25,NA,"Other","2011"
"189","rigraph","igraph","2015-01-05","2015-08-13",49,20,NA,"Other","2015"
"190","trelliscope","tesseradata","2013-04-05","2015-08-31",49,17,NA,"Other","2013"
"191","installr","talgalili","2013-03-01","2015-08-18",49,26,"2015-06-13","CRAN","2013"
"192","streamR","pablobarbera","2013-03-05","2015-07-27",48,28,"2014-01-07","CRAN","2013"
"193","rhdfs","RevolutionAnalytics","2013-02-05","2013-11-11",48,56,NA,"Other","2013"
"194","ggsubplot","garrettgman","2012-09-03","2015-07-09",48,12,"2013-12-14","CRAN","2012"
"195","slopegraph","leeper","2013-12-01","2015-07-29",48,6,NA,"Other","2013"
"196","dou-salaries","imax","2011-05-26","2015-07-02",48,13,NA,"Other","2011"
"197","broman","kbroman","2009-04-28","2015-08-26",48,14,"2015-08-05","CRAN","2009"
"198","rentrez","ropensci","2012-02-11","2015-08-05",47,11,"2015-06-26","CRAN","2012"
"199","scholar","jkeirstead","2013-10-21","2015-04-25",47,11,"2014-08-22","CRAN","2013"
"200","sas7bdat","BioStatMatt","2011-04-18","2015-03-13",47,12,"2014-06-04","CRAN","2011"
"201","rnoaa","ropensci","2013-07-08","2015-08-25",47,14,"2015-07-08","CRAN","2013"
"202","WDI","vincentarelbundock","2012-04-01","2014-03-26",47,21,"2013-08-20","CRAN","2012"
"203","sas7bdat","BioStatMatt","2011-04-18","2015-03-13",47,12,"2014-06-04","CRAN","2011"
"204","scholar","jkeirstead","2013-10-21","2015-04-25",47,11,"2014-08-22","CRAN","2013"
"205","R-Network-Visualization-Workshop","kateto","2015-06-19","2015-06-29",47,18,NA,"Other","2015"
"206","beepr","rasmusab","2014-01-26","2015-06-17",47,5,"2015-06-14","CRAN","2014"
"207","tidyjson","sailthru","2014-09-14","2015-05-15",46,3,"2015-05-02","CRAN","2014"
"208","ggfortify","sinhrks","2014-10-05","2015-08-29",46,11,NA,"Other","2014"
"209","shiny-sandbox","trestletech","2012-10-26","2013-02-22",46,40,NA,"Other","2012"
"210","latex2exp","stefano-meschiari","2015-06-11","2015-08-30",46,0,"2015-08-12","CRAN","2015"
"211","datacamp","Data-Camp","2013-12-28","2015-08-27",46,15,NA,"Other","2013"
"212","BatchJobs","tudo-r","2013-11-05","2015-08-13",46,13,"2015-03-18","CRAN","2013"
"213","opencpu-legacy","jeroenooms","2012-02-27","2013-03-08",45,12,NA,"Other","2012"
"214","RSiteCatalyst","randyzwitch","2013-03-08","2015-08-27",45,23,"2015-08-15","CRAN","2013"
"215","redshift-r","pingles","2013-04-30","2015-04-02",45,14,NA,"Other","2013"
"216","wakefield","trinker","2015-04-14","2015-08-07",45,7,NA,"Other","2015"
"217","assertthat","hadley","2013-04-09","2015-07-24",44,14,"2013-12-06","CRAN","2013"
"218","analogsea","sckott","2014-05-24","2015-08-12",44,4,NA,"Other","2014"
"219","gapminder","jennybc","2014-10-25","2015-07-30",44,23,"2015-03-17","CRAN","2014"
"220","r_tutorial_ed","jknowles","2012-02-15","2013-07-30",44,47,NA,"Other","2012"
"221","SuperLearner","ecpolley","2011-04-16","2015-07-28",44,12,"2014-07-21","CRAN","2011"
"222","doctree","rurema","2013-06-02","2015-08-22",44,39,NA,"Other","2013"
"223","mason","metacran","2015-06-02","2015-08-21",44,1,NA,"Other","2015"
"224","sand","kolaczyk","2014-02-24","2015-01-16",44,34,"2014-04-24","CRAN","2014"
"225","ggplot2-translation","cosname","2012-03-28","2013-06-06",43,29,NA,"Other","2012"
"226","openWAR","beanumber","2013-07-15","2015-07-31",43,18,NA,"Other","2013"
"227","lfda","terrytangyuan","2015-08-10","2015-08-31",43,21,"2015-08-19","CRAN","2015"
"228","R","dmpe","2013-03-02","2015-08-21",43,101,NA,"Other","2013"
"229","geojsonio","ropensci","2014-04-01","2015-08-24",43,15,"2015-08-12","CRAN","2014"
"230","checkpoint","RevolutionAnalytics","2014-06-03","2015-09-01",43,14,"2015-04-28","CRAN","2014"
"231","Play-Econometrics-with-R","cloudly","2010-01-01","2012-05-10",42,36,NA,"Other","2010"
"232","scales","hadley","2010-11-08","2015-08-25",42,26,"2015-08-25","CRAN","2010"
"233","rlist","renkun-ken","2014-06-01","2015-08-04",42,8,"2015-07-09","CRAN","2014"
"234","doRedis","bwlewis","2010-04-27","2015-08-19",42,11,"2014-04-03","CRAN","2010"
"235","rdrop2","karthik","2015-03-31","2015-07-01",42,8,"2015-07-31","CRAN","2015"
"236","bigquery-examples","googlegenomics","2014-04-11","2015-04-15",42,25,NA,"Other","2014"
"237","docopt.R","docopt","2013-11-05","2015-07-31",41,5,NA,"Other","2013"
"238","modules","klmr","2013-05-22","2015-08-13",41,3,NA,"Other","2013"
"239","infochimps","drewconway","2010-11-20","2011-03-22",40,2,NA,"Other","2010"
"240","tutorial-201203-big-data","jeffreybreen","2012-03-10","2012-09-24",40,18,NA,"Other","2012"
"241","RMendeley","ropensci","2011-05-06","2014-08-20",40,7,NA,"Other","2011"
