"","week","author","commits","total","project_total"
"411",19,"krlmlr",0,0,0
"412",19,"jiho",0,0,0
"413",19,"joranE",0,0,0
"414",19,"BrianDiggs",0,0,0
"415",19,"JakeRuss",0,0,0
"416",19,"kohske",0,0,0
"417",19,"wch",0,0,0
"418",19,"hadley",0,20618,0
"419",20,"rasmusab",0,0,0
"420",20,"kloesing",0,0,0
"421",20,"briandk",0,0,0
"422",20,"dariobuttari",0,0,0
"423",20,"yihui",0,0,0
"424",20,"lehy",0,0,0
"425",20,"crowding",0,0,0
"426",20,"lianos",0,0,0
"427",20,"jrnold",0,0,0
"428",20,"davidmorrison",0,0,0
"429",20,"djmurphy420",0,0,0
"430",20,"wligtenberg",0,0,0
"431",20,"baptiste",0,0,0
"432",20,"jimhester",0,0,0
"433",20,"krlmlr",0,0,0
"434",20,"jiho",0,0,0
"435",20,"joranE",0,0,0
"436",20,"BrianDiggs",0,0,0
"437",20,"JakeRuss",0,0,0
"438",20,"kohske",0,0,0
"439",20,"wch",0,0,0
"440",20,"hadley",0,20618,0
"441",21,"rasmusab",0,0,0
"442",21,"kloesing",0,0,0
"443",21,"briandk",0,0,0
"444",21,"dariobuttari",0,0,0
"445",21,"yihui",0,0,0
"446",21,"lehy",0,0,0
"447",21,"crowding",0,0,0
"448",21,"lianos",0,0,0
"449",21,"jrnold",0,0,0
"450",21,"davidmorrison",0,0,0
"451",21,"djmurphy420",0,0,0
"452",21,"wligtenberg",0,0,0
"453",21,"baptiste",0,0,0
"454",21,"jimhester",0,0,0
"455",21,"krlmlr",0,0,0
"456",21,"jiho",0,0,0
"457",21,"joranE",0,0,0
"458",21,"BrianDiggs",0,0,0
"459",21,"JakeRuss",0,0,0
"460",21,"kohske",0,0,0
"461",21,"wch",0,0,0
"462",21,"hadley",0,20618,0
"463",22,"rasmusab",0,0,73
"464",22,"kloesing",0,0,73
"465",22,"briandk",0,0,73
"466",22,"dariobuttari",0,0,73
"467",22,"yihui",0,0,73
"468",22,"lehy",0,0,73
"469",22,"crowding",0,0,73
"470",22,"lianos",0,0,73
"471",22,"jrnold",0,0,73
"472",22,"davidmorrison",0,0,73
"473",22,"djmurphy420",0,0,73
"474",22,"wligtenberg",0,0,73
"475",22,"baptiste",0,0,73
"476",22,"jimhester",0,0,73
"477",22,"krlmlr",0,0,73
"478",22,"jiho",0,0,73
"479",22,"joranE",0,0,73
"480",22,"BrianDiggs",0,0,73
"481",22,"JakeRuss",0,0,73
"482",22,"kohske",0,0,73
"483",22,"wch",0,0,73
"484",22,"hadley",73,20691,73
"485",23,"rasmusab",0,0,116
"486",23,"kloesing",0,0,116
"487",23,"briandk",0,0,116
"488",23,"dariobuttari",0,0,116
"489",23,"yihui",0,0,116
"490",23,"lehy",0,0,116
"491",23,"crowding",0,0,116
"492",23,"lianos",0,0,116
"493",23,"jrnold",0,0,116
"494",23,"davidmorrison",0,0,116
"495",23,"djmurphy420",0,0,116
"496",23,"wligtenberg",0,0,116
"497",23,"baptiste",0,0,116
"498",23,"jimhester",0,0,116
"499",23,"krlmlr",0,0,116
"500",23,"jiho",0,0,116
"501",23,"joranE",0,0,116
"502",23,"BrianDiggs",0,0,116
"503",23,"JakeRuss",0,0,116
"504",23,"kohske",0,0,116
"505",23,"wch",0,0,116
"506",23,"hadley",116,20807,116
"507",24,"rasmusab",0,0,0
"508",24,"kloesing",0,0,0
"509",24,"briandk",0,0,0
"510",24,"dariobuttari",0,0,0
"511",24,"yihui",0,0,0
"512",24,"lehy",0,0,0
"513",24,"crowding",0,0,0
"514",24,"lianos",0,0,0
"515",24,"jrnold",0,0,0
"516",24,"davidmorrison",0,0,0
"517",24,"djmurphy420",0,0,0
"518",24,"wligtenberg",0,0,0
"519",24,"baptiste",0,0,0
"520",24,"jimhester",0,0,0
"521",24,"krlmlr",0,0,0
"522",24,"jiho",0,0,0
"523",24,"joranE",0,0,0
"524",24,"BrianDiggs",0,0,0
"525",24,"JakeRuss",0,0,0
"526",24,"kohske",0,0,0
"527",24,"wch",0,0,0
"528",24,"hadley",0,20807,0
"529",25,"rasmusab",0,0,35
"530",25,"kloesing",0,0,35
"531",25,"briandk",0,0,35
"532",25,"dariobuttari",0,0,35
"533",25,"yihui",0,0,35
"534",25,"lehy",0,0,35
